header_srchost;dtYMD;cnt;bodybyte
d23d6ee0;20130527;6925;458708
d23d6ee0;20130528;7801;518516
d23d6ee0;20130529;13630;960267
d23d6ee0;20130530;9939;717958
d23d6ee0;20130531;46280;3362935
d23d6ee0;20130601;64260;4741689
d23d6ee0;20130602;13462;909553
d23d6ee0;20130603;18991;1371719
d23d6ee0;20130604;5765;411588
d23d6ee0;20130605;4042;270573
d23d6ee0;20130606;2291;161075
d23d6ee0;20130607;4798;369665
d23d6ee0;20130608;278;19866
d23d6ee0;20130609;7776;555783
d23d6ee0;20130610;14213;1003551
d23d6ee0;20130611;94;6412
d23d6ee0;20130612;1444;96904
d23d6ee0;20130613;1935;135492
d23d6ee0;20130614;783;53742
d23d6ee0;20130615;5244;369187
d23d6ee0;20130616;5196;380596
d23d6ee0;20130617;2315;170580
d23d6ee0;20130618;112;7580
d23d6ee0;20130619;1039;96896
d23d6ee0;20130620;10172;696015
d23d6ee0;20130621;11;912
d23d6ee0;20130622;712;52060
d23d6ee0;20130623;14496;1074241
d23d6ee0;20130624;2680;190080
d23d6ee0;20130625;1420;105134
d23d6ee0;20130626;59;4359
d23d6ee0;20130627;1605;111634
d23d6ee0;20130628;3;200
d23d6ee0;20130629;512;36071
d23d6ee0;20130701;4315;303622
d23d6ee0;20130702;2291;155331
d23d6ee0;20130703;14404;1041583
d23d6ee0;20130704;2047;143547
d23d6ee0;20130705;2043;139642
d23d6ee0;20130706;725;53168
d23d6ee0;20130707;41;2773
d23d6ee0;20130708;54;4895
d23d6ee0;20130709;86;5988
d23d6ee0;20130710;6;384
d24128b7;20130527;645;43840
d24128b7;20130528;1126;81037
d24128b7;20130529;846;58387
d24128b7;20130530;5678;399244
d24128b7;20130531;8638;632911
d24128b7;20130601;53636;3841201
d24128b7;20130602;58666;4561361
d24128b7;20130603;3084;212388
d24128b7;20130604;9703;708781
d24128b7;20130605;6110;413123
d24128b7;20130606;1129;79538
d24128b7;20130607;4163;292246
d24128b7;20130608;180;12779
d24128b7;20130609;4035;283304
d24128b7;20130610;20065;1429734
d24128b7;20130611;207;13938
d24128b7;20130612;408;26834
d24128b7;20130613;10312;747549
d24128b7;20130614;792;53776
d24128b7;20130615;1215;84424
d24128b7;20130616;4040;291649
d24128b7;20130617;3270;238687
d24128b7;20130620;6501;443478
d24128b7;20130621;17;1231
d24128b7;20130622;701;51483
d24128b7;20130623;1057;82935
d24128b7;20130624;2934;208011
d24128b7;20130625;383;47587
d24128b7;20130626;663;67155
d24128b7;20130627;2841;235169
d24128b7;20130628;277;24599
d24128b7;20130629;325;28713
d24128b7;20130630;2351;172595
d24128b7;20130701;2715;198399
d24128b7;20130702;405;32549
d24128b7;20130703;40;3656
d24128b7;20130704;3;241
d24128b7;20130705;2;135
d24128b7;20130706;2683;198548
d24128b7;20130708;11;1466
d2412e8f;20130527;722;47897
d2412e8f;20130528;2065;152004
d2412e8f;20130529;1907;133732
d2412e8f;20130530;5674;402416
d2412e8f;20130531;6375;471549
d2412e8f;20130601;54516;3913370
d2412e8f;20130602;58636;4575831
d2412e8f;20130603;15336;1106947
d2412e8f;20130604;10756;807181
d2412e8f;20130605;6058;407470
d2412e8f;20130606;2920;206157
d2412e8f;20130607;6454;457998
d2412e8f;20130608;184;12999
d2412e8f;20130609;1186;83503
d2412e8f;20130610;20165;1436287
d2412e8f;20130611;116;8000
d2412e8f;20130612;1398;93658
d2412e8f;20130613;10777;785703
d2412e8f;20130614;790;53212
d2412e8f;20130615;994;68617
d2412e8f;20130616;257;18082
d2412e8f;20130617;3298;244488
d2412e8f;20130619;1;69
d2412e8f;20130620;1;117
d2412e8f;20130621;12;889
d2412e8f;20130622;708;51312
d2412e8f;20130624;2841;206767
d2412e8f;20130626;63;6475
d2412e8f;20130627;71774;5904549
d2412e8f;20130628;42973;3183725
d2412e8f;20130630;3493;240778
d2412e8f;20130702;3;225
d2412e8f;20130704;8;517
d2412e8f;20130705;29;2088
d2412e8f;20130706;4;238
d2412e8f;20130707;1183;111467
d2412e8f;20130708;68;5557
d2412e8f;20130710;1954;137700
from;20130623;2;46
POSSIBLE;20130527;1;43707
POSSIBLE;20130528;1;36227
POSSIBLE;20130529;1;3451
POSSIBLE;20130601;1;311338
POSSIBLE;20130602;1;777155
POSSIBLE;20130604;1;4709
POSSIBLE;20130606;1;51
POSSIBLE;20130607;1;4216
POSSIBLE;20130608;1;476
POSSIBLE;20130609;1;1054
POSSIBLE;20130610;1;2057
POSSIBLE;20130611;1;391
POSSIBLE;20130612;1;3978
POSSIBLE;20130613;1;17
POSSIBLE;20130614;1;136
POSSIBLE;20130615;1;17765
POSSIBLE;20130616;1;3893
POSSIBLE;20130617;1;3621
POSSIBLE;20130619;1;3961
POSSIBLE;20130624;1;374
POSSIBLE;20130626;1;1666
POSSIBLE;20130627;1;470441
POSSIBLE;20130628;1;251260
POSSIBLE;20130629;1;34
POSSIBLE;20130630;1;6103
POSSIBLE;20130706;1;255
POSSIBLE;20130708;1;51
POSSIBLE;20130710;1;9724
