header_srchost;dtYMD;cnt_root_login_f
d23d6ee0;20130527;2156
d23d6ee0;20130528;2163
d23d6ee0;20130529;2205
d23d6ee0;20130530;934
d23d6ee0;20130531;5181
d23d6ee0;20130601;17185
d23d6ee0;20130602;4214
d23d6ee0;20130603;1740
d23d6ee0;20130604;883
d23d6ee0;20130605;101
d23d6ee0;20130606;678
d23d6ee0;20130607;1313
d23d6ee0;20130608;46
d23d6ee0;20130609;727
d23d6ee0;20130610;2433
d23d6ee0;20130611;28
d23d6ee0;20130612;281
d23d6ee0;20130613;323
d23d6ee0;20130614;199
d23d6ee0;20130615;589
d23d6ee0;20130616;706
d23d6ee0;20130617;438
d23d6ee0;20130618;1
d23d6ee0;20130619;543
d23d6ee0;20130620;2308
d23d6ee0;20130621;4
d23d6ee0;20130622;15
d23d6ee0;20130623;43
d23d6ee0;20130624;516
d23d6ee0;20130625;160
d23d6ee0;20130626;14
d23d6ee0;20130627;309
d23d6ee0;20130628;1
d23d6ee0;20130629;135
d23d6ee0;20130701;979
d23d6ee0;20130702;574
d23d6ee0;20130703;1192
d23d6ee0;20130704;432
d23d6ee0;20130705;438
d23d6ee0;20130706;46
d23d6ee0;20130707;4
d23d6ee0;20130708;7
d23d6ee0;20130709;13
d23d6ee0;20130710;2
d24128b7;20130527;186
d24128b7;20130528;115
d24128b7;20130529;76
d24128b7;20130530;923
d24128b7;20130531;441
d24128b7;20130601;2608
d24128b7;20130602;20728
d24128b7;20130603;624
d24128b7;20130604;1452
d24128b7;20130605;111
d24128b7;20130606;344
d24128b7;20130607;856
d24128b7;20130608;29
d24128b7;20130609;501
d24128b7;20130610;2625
d24128b7;20130611;62
d24128b7;20130612;123
d24128b7;20130613;1054
d24128b7;20130614;199
d24128b7;20130615;269
d24128b7;20130616;566
d24128b7;20130617;455
d24128b7;20130620;1265
d24128b7;20130621;6
d24128b7;20130622;15
d24128b7;20130623;80
d24128b7;20130624;517
d24128b7;20130626;234
d24128b7;20130627;771
d24128b7;20130629;5
d24128b7;20130630;493
d24128b7;20130701;444
d24128b7;20130702;106
d24128b7;20130703;15
d24128b7;20130706;47
d24128b7;20130708;6
d2412e8f;20130527;221
d2412e8f;20130528;118
d2412e8f;20130529;174
d2412e8f;20130530;926
d2412e8f;20130531;47
d2412e8f;20130601;2618
d2412e8f;20130602;20614
d2412e8f;20130603;1198
d2412e8f;20130604;2055
d2412e8f;20130605;111
d2412e8f;20130606;757
d2412e8f;20130607;1263
d2412e8f;20130608;29
d2412e8f;20130609;334
d2412e8f;20130610;2629
d2412e8f;20130611;36
d2412e8f;20130612;351
d2412e8f;20130613;892
d2412e8f;20130614;201
d2412e8f;20130615;221
d2412e8f;20130616;46
d2412e8f;20130617;479
d2412e8f;20130621;4
d2412e8f;20130622;15
d2412e8f;20130624;626
d2412e8f;20130626;37
d2412e8f;20130627;27372
d2412e8f;20130628;14776
d2412e8f;20130630;335
d2412e8f;20130702;1
d2412e8f;20130704;2
d2412e8f;20130705;8
d2412e8f;20130706;1
d2412e8f;20130707;646
d2412e8f;20130708;7
d2412e8f;20130710;415
